8962ed9 	 Bernabe Casey 	 12:25 PM May 23 Wednesday 	 Fixed the registration
5cfc94e 	 Marcus 	 09:23 AM May 01 Tuesday 	 Modified render html function
34bfc2c 	 Marcus 	 08:55 AM May 01 Tuesday 	 Added verification
c2b19aa 	 Marcus 	 08:37 AM May 01 Tuesday 	 Added color on listing section
a5eabd4 	 Marcus 	 08:24 AM May 01 Tuesday 	 title and username with jquery
fbf64e6 	 Marcus 	 06:24 PM Apr 29 Sunday 	 Fixed username append
33aa58a 	 Marcus 	 05:42 PM Apr 27 Friday 	 Added colored text
f7db0cc 	 Marcus 	 04:42 PM Apr 27 Friday 	 Added added default request
942eaf0 	 Marviuz 	 02:29 PM Apr 27 Friday 	 Fixed css problem
431cc30 	 Rizalde 	 01:46 PM Apr 27 Friday 	 Added node routes for dashboard
f994e95 	 Marcus 	 12:47 AM Apr 27 Friday 	 Added username and password validation
777ac33 	 Marcus 	 12:46 AM Apr 27 Friday 	 Added .gitignore
4851618 	 Marcus 	 11:41 PM Apr 26 Thursday 	 Added get input from html
191a01a 	 Marcus 	 11:41 PM Apr 26 Thursday 	 Added query string link
a41ecf4 	 Marcus 	 11:40 PM Apr 26 Thursday 	 Added names on input
f9191af 	 Marcus 	 11:19 PM Apr 24 Tuesday 	 Updated README
ca14570 	 Marcus 	 11:10 PM Apr 24 Tuesday 	 Added post handling
fba8e2f 	 Marcus 	 11:10 PM Apr 24 Tuesday 	 Added post handling
946796d 	 Marcus 	 10:46 PM Apr 24 Tuesday 	 Modified to switch statement
25be1eb 	 Marcus 	 10:35 PM Apr 24 Tuesday 	 Added hash function
366ecdc 	 Marcus 	 10:34 PM Apr 24 Tuesday 	 Added routing tutorial
b868643 	 Marcus 	 10:18 PM Apr 24 Tuesday 	 Added message on filtered data
0f14163 	 Marcus 	 10:06 PM Apr 24 Tuesday 	 Added hash function
f5c6799 	 Ray Servidad 	 01:43 PM Apr 24 Tuesday 	 Transfered the files in the correct folder
a4c908d 	 Marcus 	 12:41 AM Apr 23 Monday 	 Added multiple file service and login page
49940b7 	 Marcus 	 09:36 PM Apr 20 Friday 	 Deleted spaced folder
9316aec 	 Marcus 	 09:20 PM Apr 20 Friday 	 Updated readme links
522dfa3 	 Marcus 	 08:58 PM Apr 20 Friday 	 Added server mock and mock database
a12f737 	 Marcus 	 08:11 PM Apr 20 Friday 	 Added MySQL for node
f5547b4 	 benzservidad 	 02:26 PM Apr 20 Friday 	 Initial Database
330966b 	 Marcus 	 01:53 PM Apr 20 Friday 	 Added basic node code
9205db0 	 Rizalde 	 01:48 PM Apr 20 Friday 	 Added initial project structure
e7eda5b 	 Marcus 	 11:27 PM Apr 18 Wednesday 	 Relocated files to Tests branch
3e14422 	 Marcus 	 11:25 PM Apr 18 Wednesday 	 Added transform scale on text boxes
e43c246 	 Marcus 	 11:12 PM Apr 18 Wednesday 	 Added initial login layout
78ed299 	 Rizalde Jr. Velasco 	 02:26 PM Apr 17 Tuesday 	 Updated Plans
2513d53 	 Rizalde Jr. Velasco 	 02:19 PM Apr 17 Tuesday 	 Edited Readme
2c95f40 	 Rizalde Jr. Velasco 	 02:18 PM Apr 17 Tuesday 	 Added Initial Plans for the Project
